datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1488352775, 24.4624996185, 24.6124992371, 23.7875003815, 25.2500000000, 41.6375007629, 40.8125000000, 38.2249984741, 33.2000007629, -0.4000000060, 45.9199981689, 25.6462192535, 16.8886852264, 26.1028461456, 28.1757831573, 22.2000007629, 46.7000007629, 
1488352808, 24.4249992371, 24.3500003815, 23.8624992371, 25.1749992371, 52.8499984741, 55.2125015259, 48.8750000000, 41.0750007629, -0.4000000060, 49.0000000000, 25.7316703796, 26.4927139282, 26.0467681885, 28.5481033325, 22.2999992371, 46.5000000000, 
1488352841, 24.3500003815, 24.2749996185, 23.6749992371, 25.1375007629, 59.9375000000, 64.4375000000, 56.1875000000, 46.8875007629, -0.4799999893, 71.1999969482, 25.8705272675, 41.9241638184, 26.0040435791, 28.8624401093, 22.2999992371, 46.2000007629, 
1488352874, 24.2749996185, 24.2000007629, 23.6000003815, 25.0249996185, 65.5625000000, 71.1125030518, 61.7750015259, 51.4625015259, -0.4799999893, 45.1199989319, 26.0254058838, 57.3830795288, 25.9479675293, 29.0333404541, 22.2999992371, 46.0000000000, 
1488352907, 24.2000007629, 24.1250000000, 23.5249996185, 24.9125003815, 69.9875030518, 76.0999984741, 66.2750015259, 55.2125015259, -0.4000000060, 63.7200012207, 26.2523841858, 70.0358581543, 25.8918895721, 29.2790107727, 22.2999992371, 46.0000000000, 
1488352940, 24.1625003815, 24.0499992371, 23.4500007629, 24.8374996185, 73.5875015259, 80.0749969482, 69.9499969482, 58.3250007629, -0.4799999893, 43.7999992371, 26.4633407593, 80.8224639893, 25.8224620819, 29.4499130249, 22.2999992371, 45.9000015259, 
1488352973, 24.0499992371, 23.9375000000, 23.4125003815, 24.7999992371, 76.5500030518, 83.2624969482, 73.0250015259, 60.9500007629, -0.2800000012, 56.0000000000, 26.7143516541, 88.3573684692, 25.7396812439, 29.6360721588, 22.2999992371, 45.9000015259, 
1488353006, 24.0499992371, 23.8999996185, 23.2999992371, 24.6875000000, 79.0625000000, 85.9250030518, 75.5749969482, 63.2000007629, -0.2800000012, 54.7200012207, 26.9413299561, 91.6914596558, 25.6836032867, 29.7093162537, 22.2999992371, 45.9000015259, 
1488353039, 23.8999996185, 24.0125007629, 23.2625007629, 24.6124992371, 81.1624984741, 88.1374969482, 77.7500000000, 65.1125030518, -0.2800000012, 61.0000000000, 27.1095600128, 93.0357818604, 25.6408786774, 29.8329143524, 22.2000007629, 45.9000015259, 
1488353072, 23.8624992371, 23.7500000000, 23.2250003815, 24.5750007629, 83.0000000000, 90.0124969482, 79.6624984741, 66.7624969482, -0.0799999982, 57.7999992371, 27.2644386292, 93.5088119507, 25.5848026276, 30.0480651855, 22.2000007629, 45.9000015259, 
1488353106, 23.7875003815, 23.6749992371, 23.1124992371, 24.5000000000, 84.4625015259, 91.6250000000, 81.3125000000, 68.1875000000, -0.2800000012, 50.0000000000, 27.4486923218, 93.6964950562, 25.5420761108, 30.2647438049, 22.2000007629, 45.9000015259, 
