datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1491697707, 28.8125000000, 28.2875003815, 28.2500000000, 29.6000003815, 29.1875000000, 28.8500003815, 29.2625007629, 29.1875000000, 73.0000000000, 63.5999984741, 31.3073158264, 42.0813293457, 30.7839317322, 52.9259185791, 30.3999996185, 64.9000015259, 
1491697740, 28.8875007629, 28.2875003815, 28.2124996185, 29.4874992371, 29.1499996185, 28.8500003815, 29.2625007629, 29.1875000000, 59.5200004578, 58.2000007629, 31.2912940979, 42.2003517151, 30.8106346130, 53.0113677979, 30.2999992371, 64.9000015259, 
1491697773, 28.9249992371, 28.2875003815, 28.2500000000, 29.5249996185, 29.1499996185, 28.8500003815, 29.2250003815, 29.1875000000, 45.7200012207, 64.5199966431, 31.2645912170, 42.1713600159, 30.7705802917, 53.1212310791, 30.2999992371, 64.9000015259, 
1491697806, 28.8125000000, 28.2875003815, 28.2875003815, 29.4874992371, 29.1499996185, 28.8125000000, 29.2250003815, 29.1499996185, 60.1199989319, 44.2000007629, 31.2512397766, 42.2262916565, 30.7545585632, 53.1410713196, 30.2999992371, 64.9000015259, 
1491697839, 28.7749996185, 28.2500000000, 28.1375007629, 29.4874992371, 29.0750007629, 28.8125000000, 29.2250003815, 29.1499996185, 59.3199996948, 46.9199981689, 31.2512397766, 42.2552833557, 30.7412071228, 53.2173652649, 30.2999992371, 65.0000000000, 
1491697872, 28.7374992371, 28.2124996185, 28.2124996185, 29.4125003815, 29.1124992371, 28.7749996185, 29.2250003815, 29.1124992371, 62.3199996948, 42.9199981689, 31.2512397766, 42.2690162659, 30.7545585632, 53.2875556946, 30.2999992371, 65.0000000000, 
1491697906, 28.7749996185, 28.2500000000, 28.1000003815, 29.4500007629, 29.1124992371, 28.7749996185, 29.1875000000, 29.1499996185, 49.4000015259, 72.8000030518, 31.2218666077, 42.2995338440, 30.7278556824, 53.3882675171, 30.2999992371, 65.0999984741, 
1491697939, 28.7000007629, 28.2124996185, 28.1000003815, 29.4500007629, 29.1124992371, 28.7749996185, 29.1875000000, 29.1124992371, 59.7200012207, 68.9199981689, 31.2085151672, 42.2964820862, 30.7278556824, 53.3974227905, 30.2999992371, 65.1999969482, 
1491697972, 28.7374992371, 28.1749992371, 28.1000003815, 29.4500007629, 29.0750007629, 28.7374992371, 29.1875000000, 29.1124992371, 44.7999992371, 46.0000000000, 31.2085151672, 42.3224220276, 30.7145042419, 53.4966049194, 30.2999992371, 65.1999969482, 
1491698005, 28.7374992371, 28.3250007629, 28.1000003815, 29.3750000000, 29.0750007629, 28.7374992371, 29.1875000000, 29.0750007629, 58.0000000000, 56.7200012207, 31.1951637268, 42.3361549377, 30.6717777252, 53.5439071655, 30.2999992371, 65.3000030518, 
1491698038, 28.6625003815, 28.2124996185, 28.2124996185, 29.3750000000, 29.0750007629, 28.7374992371, 29.1875000000, 29.0750007629, 42.4000015259, 56.7999992371, 31.1524372101, 42.3788833618, 30.6717777252, 53.6537742615, 30.2999992371, 65.5000000000, 
1491698071, 28.7000007629, 28.2124996185, 28.0249996185, 29.4500007629, 29.0750007629, 28.8125000000, 29.1875000000, 29.0750007629, 46.1199989319, 64.4000015259, 31.1390857697, 42.4200820923, 30.6584262848, 53.7163352966, 30.2000007629, 65.6999969482, 
1491698104, 28.6250000000, 28.1749992371, 28.1000003815, 29.4500007629, 29.0750007629, 28.7749996185, 29.1875000000, 29.1124992371, 76.5199966431, 62.7999992371, 31.1230640411, 42.4521255493, 30.6424045563, 53.7499046326, 30.2000007629, 65.6999969482, 
1491698137, 28.7000007629, 28.1749992371, 28.0625000000, 29.4125003815, 29.0750007629, 28.7749996185, 29.1875000000, 29.0750007629, 67.1999969482, 54.0000000000, 31.1524372101, 42.4063491821, 30.6851291656, 53.8048362732, 30.2999992371, 65.6999969482, 
1491698170, 28.6250000000, 28.1000003815, 27.9874992371, 29.4125003815, 29.0750007629, 28.7374992371, 29.1875000000, 29.0750007629, 50.2000007629, 43.3199996948, 31.1791400909, 42.4246597290, 30.6851291656, 53.8185691833, 30.2999992371, 65.5999984741, 
1491698203, 28.8125000000, 28.1749992371, 28.0625000000, 29.3750000000, 29.0750007629, 28.7749996185, 29.1499996185, 29.0750007629, 59.3199996948, 50.5999984741, 31.1951637268, 42.3788833618, 30.6851291656, 53.8551902771, 30.3999996185, 65.5999984741, 
1491698236, 28.6625003815, 28.1749992371, 28.1749992371, 29.3750000000, 45.3499984741, 43.8875007629, 41.2625007629, 37.4000015259, -0.2800000012, 46.2000007629, 31.1791400909, 43.2257575989, 30.7145042419, 53.9604797363, 30.3999996185, 65.5000000000, 
1491698269, 28.6625003815, 28.1749992371, 28.0625000000, 29.4125003815, 56.0000000000, 57.0499992371, 51.0125007629, 44.5999984741, -0.4000000060, 45.5200004578, 31.2645912170, 61.1429023743, 30.7145042419, 54.0062561035, 30.5000000000, 65.3000030518, 
1491698302, 28.6625003815, 28.1749992371, 28.0625000000, 29.4125003815, 62.7125015259, 65.3750000000, 57.7625007629, 49.7374992371, -0.2800000012, 58.5200004578, 31.5022506714, 87.5394821167, 30.7145042419, 54.0703430176, 30.6000003815, 65.0999984741, 
1491698335, 28.6625003815, 28.1375007629, 28.0625000000, 29.4125003815, 67.6624984741, 71.3750000000, 62.9749984741, 53.8624992371, -0.4799999893, 60.7999992371, 31.9962615967, 96.3973464966, 30.7145042419, 54.1237487793, 30.6000003815, 64.9000015259, 
1491698368, 28.6625003815, 28.1375007629, 28.0625000000, 29.4125003815, 71.5625000000, 75.8750000000, 67.1750030518, 57.2000007629, -0.4000000060, 53.7999992371, 32.3487434387, 97.9537658691, 30.7278556824, 54.1252784729, 30.7000007629, 64.6999969482, 
1491698401, 28.8125000000, 28.1375007629, 28.0625000000, 29.4125003815, 74.7125015259, 79.3625030518, 70.5875015259, 59.9749984741, -0.4000000060, 52.0000000000, 32.6745262146, 98.7029800415, 30.7412071228, 54.1985206604, 30.7000007629, 64.5999984741, 
1491698435, 28.7000007629, 28.3999996185, 28.0625000000, 29.4125003815, 77.3000030518, 82.2125015259, 73.4000015259, 62.2999992371, -0.4000000060, 44.0000000000, 32.9709320068, 99.0890350342, 30.7278556824, 54.2473487854, 30.7000007629, 64.5999984741, 
1491698468, 28.7000007629, 28.1375007629, 28.1000003815, 29.5249996185, 79.4749984741, 84.5749969482, 75.7249984741, 64.2500000000, -0.4000000060, 58.4000015259, 33.3073921204, 99.3392868042, 30.7545585632, 54.3221168518, 30.7000007629, 64.5999984741, 
1491698501, 28.7000007629, 28.1375007629, 28.0625000000, 29.4125003815, 81.3874969482, 86.6750030518, 77.7125015259, 65.9375000000, -0.2800000012, 59.7999992371, 33.6037979126, 99.5010299683, 30.7545585632, 54.3526344299, 30.7000007629, 64.6999969482, 
1491698534, 28.7000007629, 28.1749992371, 28.1000003815, 29.4500007629, 83.0374984741, 88.4749984741, 79.4749984741, 67.4749984741, -0.4000000060, 59.1199989319, 33.8414573669, 99.6139450073, 30.7412071228, 54.4441909790, 30.7000007629, 64.8000030518, 
