datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1490870247, 17.7500000000, 19.5874996185, 19.0625000000, 19.4750003815, 14.9375000000, 13.9250001907, 15.9499998093, 14.3750000000, 51.7200012207, 56.0000000000, 15.9155416489, 30.4341182709, 20.0438690186, 16.5575637817, 14.8999996185, 24.0000000000, 
1490870280, 17.5625000000, 19.3999996185, 18.8750000000, 19.2500000000, 14.8999996185, 13.8500003815, 15.9125003815, 14.3374996185, 66.0000000000, 59.7999992371, 15.8300905228, 30.1899757385, 19.9156932831, 16.6048679352, 14.8999996185, 23.7000007629, 
1490870313, 17.3750000000, 19.2124996185, 18.6875000000, 19.0625000000, 14.8249998093, 13.8125000000, 15.8374996185, 14.2624998093, 55.5999984741, 74.8000030518, 15.7606620789, 30.0114440918, 19.7474632263, 16.5987644196, 15.0000000000, 23.7999992371, 
1490870346, 17.3750000000, 19.0249996185, 18.5000000000, 18.8750000000, 14.7875003815, 13.7375001907, 15.7624998093, 14.1875000000, 48.5999984741, 57.0000000000, 15.6618604660, 29.7962913513, 19.5925846100, 16.7177848816, 15.0000000000, 23.8999996185, 
1490870379, 17.0000000000, 18.9500007629, 18.3125000000, 18.6499996185, 14.6750001907, 13.6625003815, 15.6875000000, 14.1125001907, 65.9199981689, 61.7999992371, 15.5497064590, 29.6635379791, 19.4243526459, 16.9420928955, 15.0000000000, 24.1000003815, 
1490870412, 16.8500003815, 18.6124992371, 18.1250000000, 18.6875000000, 14.6000003815, 13.5500001907, 15.6125001907, 14.0000000000, 66.5199966431, 62.7200012207, 15.4509038925, 29.4819564819, 19.2988471985, 17.0077056885, 14.8999996185, 24.2000007629, 
1490870446, 16.6625003815, 18.4249992371, 17.9375000000, 18.2749996185, 14.4499998093, 13.4750003815, 15.5375003815, 13.8874998093, 65.1200027466, 51.3199996948, 15.3387498856, 29.3614101410, 19.1012439728, 17.1953926086, 14.8999996185, 24.2000007629, 
1490870479, 16.5125007629, 18.2374992371, 17.7500000000, 18.0874996185, 14.4125003815, 13.3249998093, 15.3874998093, 13.7749996185, 54.5200004578, 55.7200012207, 15.1838712692, 29.2210273743, 18.8902873993, 17.3098335266, 14.8000001907, 24.1000003815, 
1490870512, 16.2875003815, 18.0499992371, 17.6000003815, 17.8999996185, 14.3374996185, 13.2500000000, 15.3125000000, 13.6625003815, 51.3199996948, 51.4000015259, 15.0717172623, 29.0699634552, 18.7354087830, 17.4471664429, 14.6999998093, 24.1000003815, 
1490870545, 16.1375007629, 17.8624992371, 17.4125003815, 17.7124996185, 14.2250003815, 13.1750001907, 15.2749996185, 13.5874996185, 71.9199981689, 67.1200027466, 14.9862670898, 28.9372081757, 18.5965518951, 17.4746322632, 14.6000003815, 24.1000003815, 
1490870578, 15.9875001907, 17.6749992371, 17.2625007629, 17.5625000000, 14.1499996185, 13.0625000000, 15.1625003815, 13.4750003815, 60.0000000000, 57.2000007629, 14.9034862518, 28.8365001678, 18.4149684906, 17.5936527252, 14.6000003815, 24.2000007629, 
1490870611, 15.8000001907, 17.5249996185, 17.1124992371, 17.3750000000, 14.0749998093, 12.9875001907, 15.0874996185, 13.3999996185, 70.9199981689, 74.5999984741, 14.8180360794, 28.7037467957, 18.3134975433, 17.9278240204, 14.5000000000, 24.7000007629, 
1490870644, 15.6125001907, 17.3374996185, 17.0000000000, 17.1875000000, 14.0000000000, 12.8750000000, 15.0124998093, 13.2875003815, 53.2000007629, 55.7200012207, 14.7486076355, 28.5069046021, 18.1452655792, 17.9552917480, 14.5000000000, 25.2999992371, 
1490870677, 15.4624996185, 17.1499996185, 16.7374992371, 17.0000000000, 13.7375001907, 12.8000001907, 14.8999996185, 13.2124996185, 47.7999992371, 58.5200004578, 14.6791791916, 28.3634700775, 18.0064086914, 18.0956745148, 14.3999996185, 25.7000007629, 
1490870710, 15.3125000000, 17.0000000000, 16.5874996185, 16.8500003815, 13.8125000000, 12.6875000000, 14.8249998093, 13.1374998093, 48.1199989319, 50.1199989319, 14.5937280655, 28.2627601624, 17.8515300751, 18.0514221191, 14.3999996185, 25.5000000000, 
1490870743, 15.1625003815, 16.8500003815, 16.4375000000, 16.7000007629, 13.7375001907, 12.6499996185, 14.7875003815, 12.9875001907, 56.1199989319, 59.1199989319, 14.5510034561, 28.0994892120, 17.6966514587, 18.2055397034, 14.3000001907, 25.2999992371, 
1490870776, 15.0124998093, 16.6625003815, 16.2875003815, 16.5499992371, 13.6625003815, 12.5375003815, 14.7124996185, 12.9499998093, 63.2000007629, 45.5200004578, 14.4682226181, 27.9987792969, 17.5684757233, 18.5534439087, 14.1999998093, 26.3999996185, 
1490870809, 14.7875003815, 16.5125007629, 16.1375007629, 16.3624992371, 13.5874996185, 12.5000000000, 14.6374998093, 12.8750000000, 54.7200012207, 70.1200027466, 14.3961238861, 27.8843364716, 17.3735408783, 18.7273979187, 14.0000000000, 27.7000007629, 
1490870842, 14.7500000000, 16.3250007629, 15.9499998093, 16.2124996185, 13.5124998093, 12.4250001907, 14.5249996185, 12.7624998093, 44.7200012207, 48.9199981689, 14.3106737137, 27.7500572205, 17.2186622620, 18.9150829315, 13.8999996185, 28.7000007629, 
1490870875, 14.4875001907, 16.2875003815, 15.7624998093, 16.0625000000, 13.4375000000, 12.3125000000, 14.4499998093, 12.6875000000, 60.9199981689, 64.9199981689, 14.2412452698, 27.6325626373, 17.0798053741, 19.1073474884, 13.8000001907, 29.2999992371, 
1490870908, 14.3374996185, 16.0249996185, 15.6125001907, 16.1000003815, 13.3625001907, 12.2375001907, 14.3374996185, 12.6125001907, 60.9199981689, 51.7200012207, 14.1557941437, 27.4998092651, 16.9115734100, 19.2767219543, 13.6999998093, 29.7000007629, 
