datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out,
1487345307,18.23749924,20.07500076,19.36249924,19.88750076,63.98749924,49.96250153,28.36249924,65.71250153,-0.280000001,62.91999817,21.5712986,13.63698769,21.40840721,13.00526428,21.39999962,5.5, 
1487345340,18.08749962,19.92499924,19.28750038,19.70000076,81.42500305,68.1875,36.6875,82.32499695,-0.200000003,66.31999969,21.51522064,24.47699738,20.97047424,13.20210552,20.70000076,5.699999809, 
1487345374,17.9375,19.73749924,19.17499924,19.51250076,90.08750153,78.19999695,43.77500153,90.57499695,-0.079999998,48.91999817,21.48851776,43.11436462,20.60463905,13.5271225,20,6.900000095, 
1487345407,17.71249962,19.51250076,18.98749924,19.32500076,95.63749695,84.76249695,49.77500153,95.97499847,-0.079999998,63.79999924,21.53124237,63.02891541,20.25482559,13.67360973,19.20000076,8, 
1487345440,17.52499962,19.32500076,18.79999924,19.13750076,99.65000153,89.52500153,54.76250076,99.91249847,-0.200000003,70.12000275,21.60067177,75.77935791,19.94239807,13.73006821,18.5,8.699999809, 
1487345473,17.33749962,19.10000038,18.61249924,18.91250038,102.6500015,93.23750305,59,102.9124985,-0.400000006,55.72000122,21.62737465,80.97962952,19.60860634,13.91317654,17.79999924,8.899999619, 
1487345506,17.29999924,18.91250038,18.42499924,18.6875,104.9375,96.125,62.52500153,105.3125,-0.200000003,59.31999969,21.67009926,83.45006561,19.35492516,14.02761841,17.20000076,9.300000191, 
1487345539,16.92499924,18.72500038,18.27499962,18.46249962,106.7750015,98.44999695,65.44999695,107.2249985,-0.400000006,51.40000153,21.76890183,85.77249146,19.05851746,14.10544014,16.70000076,9.899999619, 
1487345572,16.70000076,18.46249962,17.97500038,18.46249962,108.3125,100.3625031,67.96250153,108.8375015,-0.280000001,62.79999924,21.88372612,87.26329803,18.79148483,14.23666763,16.20000076,10.39999962, 
1487345605,16.51250076,18.27499962,17.75,18.04999924,109.5875015,102.0124969,70.09999847,110.2624969,-0.280000001,73.19999695,21.96650696,88.02929688,18.51377106,14.25650406,15.69999981,10.80000019, 
1487345638,16.28750038,18.01250076,17.52499962,17.75,110.7125015,103.4000015,71.90000153,111.4250031,-0.079999998,49.40000153,22.09468269,88.46723175,18.1879921,14.38773155,15.19999981,11.19999981, 
1487345671,15.98750019,17.75,17.26250076,17.52499962,111.6500015,104.6374969,73.58750153,112.4375,-0.079999998,54.11999893,22.2068367,88.35431671,17.85153008,14.57083988,14.69999981,11.69999981, 
1487345704,15.76249981,17.48749924,17,17.26250076,112.5124969,105.7624969,75.01249695,113.375,-0.079999998,49.72000122,22.31899071,88.28412628,17.52574921,14.60746193,14.19999981,12.39999962, 
1487345737,15.5,17.22500038,16.77499962,17,113.3000031,106.7375031,76.28749847,114.1999969,-0.479999989,81,22.41512108,87.37468719,17.2320137,14.79209614,13.80000019,13.19999981, 
1487345770,15.38749981,17,16.51250076,16.73749924,113.9749985,107.5625,77.41249847,114.9499969,-0.280000001,58.40000153,22.52994537,86.82536316,16.99435425,14.95994473,13.5,14.10000038, 
1487345803,14.9375,16.85000038,16.25,16.51250076,114.6125031,108.3499985,78.42500305,115.625,-0.079999998,55.20000076,22.64209938,85.90066528,16.74067307,15.07438755,13.30000019,14.80000019, 
1487345836,14.71249962,16.47500038,16.02499962,16.25,115.1750031,109.0625,79.32499695,116.2249985,-0.600000024,64.31999969,22.796978,85.35897064,16.52971649,15.20714092,13.10000038,15.10000038, 
1487345870,14.48750019,16.25,15.76249981,15.98750019,115.5500031,109.6624985,80.1875,116.75,0,58.11999893,22.89578056,84.11077881,16.30540848,15.1583128,12.89999962,15, 
1487345903,14.22500038,16.02499962,15.53750038,15.76249981,116.1875,110.2249985,80.97499847,117.1999969,-0.200000003,53.20000076,23.02128601,82.63523102,16.11047554,15.27275467,12.80000019,14.80000019, 
1487345936,14.03750038,15.76249981,15.3125,15.5,116.5999985,110.7874985,81.6875,117.6500015,-0.200000003,61.52000046,23.14946175,81.41909027,15.89684868,15.35515404,12.69999981,14.80000019, 
1487345969,13.8125,15.53750038,15.08749962,15.3125,117.0124969,111.2750015,82.32499695,118.0999985,-0.079999998,63.11999893,23.27763748,80.4654007,15.65919018,15.46959686,12.5,14.89999962, 
1487346002,13.58749962,15.3125,14.86250019,15.08749962,117.3499985,111.7249985,82.96250153,118.5124969,-0.280000001,73.19999695,23.37376976,79.57427216,15.46425533,15.69237804,12.39999962,15.19999981, 
