datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1488285490, 21.3500003815, 21.6124992371, 20.5249996185, 21.9874992371, 39.4625015259, 38.7874984741, 35.9000015259, 30.7250003815, -0.0799999982, 57.9199981689, 22.8450450897, 10.5607690811, 22.7649345398, 17.8484783173, 21.3999996185, 34.7000007629, 
1488285523, 21.2749996185, 21.3125000000, 20.4874992371, 22.2124996185, 51.0499992371, 53.6749992371, 46.9249992371, 38.9000015259, -0.2800000012, 58.5200004578, 22.9011211395, 16.1135272980, 22.8477153778, 19.1439685822, 21.3999996185, 34.7000007629, 
1488285556, 21.2374992371, 21.2749996185, 20.4500007629, 21.9125003815, 58.4000015259, 63.2000007629, 54.4249992371, 44.9000015259, -0.2800000012, 70.3199996948, 23.0693531036, 29.3492031097, 22.9037914276, 19.9832153320, 21.3999996185, 34.7000007629, 
1488285589, 21.1625003815, 21.2000007629, 20.4125003815, 21.8374996185, 64.0999984741, 70.0250015259, 60.2000007629, 49.6624984741, -0.4000000060, 60.4000015259, 23.3791103363, 41.8432884216, 22.9198131561, 20.6820774078, 21.3999996185, 34.7000007629, 
1488285622, 21.1250000000, 21.1250000000, 20.3374996185, 21.8374996185, 68.5999984741, 75.1999969482, 64.8499984741, 53.5250015259, -0.4799999893, 58.1199989319, 23.6728458405, 52.4208450317, 22.9465179443, 21.1215381622, 21.3999996185, 34.7000007629, 
1488285655, 21.0874996185, 21.0874996185, 20.3374996185, 21.7625007629, 72.3125000000, 79.2500000000, 68.5999984741, 56.7125015259, -0.2800000012, 48.7200012207, 23.9425506592, 61.3015937805, 22.9598693848, 21.5426864624, 21.3999996185, 34.7000007629, 
1488285688, 21.0499992371, 21.0499992371, 20.2999992371, 21.7625007629, 75.3874969482, 82.5124969482, 71.7500000000, 59.4124984741, -0.2800000012, 58.2000007629, 24.1962318420, 68.5404739380, 22.9758911133, 21.9058513641, 21.3999996185, 34.7000007629, 
1488285721, 21.0499992371, 21.2000007629, 20.2625007629, 21.7625007629, 77.9375000000, 85.1750030518, 74.3750000000, 61.7374992371, -0.4799999893, 57.0000000000, 24.4926376343, 74.8836517334, 22.9598693848, 22.2034034729, 21.3999996185, 34.7000007629, 
1488285754, 21.0125007629, 21.0125007629, 20.3750000000, 21.7250003815, 80.1125030518, 87.4625015259, 76.5875015259, 63.7249984741, -0.6000000238, 64.1200027466, 24.7169456482, 79.9023437500, 22.9598693848, 22.3956661224, 21.3999996185, 34.7000007629, 
1488285787, 20.9750003815, 20.9750003815, 20.2250003815, 21.6875000000, 81.8375015259, 89.3750000000, 78.5374984741, 65.4499969482, -0.6000000238, 68.5199966431, 24.9572753906, 83.8162841797, 22.9892425537, 22.7283134460, 21.3999996185, 34.7000007629, 
1488285820, 20.9750003815, 20.8999996185, 20.1875000000, 21.7625007629, 83.5999984741, 91.0625000000, 80.1875000000, 66.9499969482, -0.4000000060, 46.1199989319, 25.1949348450, 86.2165222168, 23.0025939941, 22.8992137909, 21.3999996185, 34.7000007629, 
1488285853, 20.9750003815, 20.8999996185, 20.1875000000, 21.6875000000, 84.9875030518, 92.4499969482, 81.6500015259, 68.3000030518, -0.4799999893, 53.4000015259, 25.4192409515, 87.5654220581, 23.0159454346, 23.1647205353, 21.3999996185, 34.7000007629, 
1488285886, 20.9375000000, 20.8999996185, 20.2250003815, 21.6875000000, 86.1875000000, 93.7249984741, 82.9250030518, 69.4625015259, -0.0799999982, 61.4000015259, 25.7022972107, 88.1239013672, 23.0159454346, 23.3051033020, 21.3999996185, 34.7000007629, 
1488285920, 20.9375000000, 20.8624992371, 20.1875000000, 21.6499996185, 87.2375030518, 94.8125000000, 84.0875015259, 70.5500030518, -0.6000000238, 52.7999992371, 25.9132518768, 88.1162719727, 23.0025939941, 23.4790573120, 21.3999996185, 34.7000007629, 
1488285953, 20.9750003815, 20.8250007629, 20.1875000000, 21.6124992371, 88.2500000000, 95.8249969482, 85.0999984741, 71.5250015259, -0.4799999893, 59.5200004578, 26.1242084503, 87.9102783203, 23.0025939941, 23.6850528717, 21.3999996185, 34.7000007629, 
1488285986, 20.9375000000, 21.0125007629, 20.1499996185, 21.6124992371, 89.1125030518, 96.7249984741, 86.0000000000, 72.4250030518, -0.2800000012, 57.5999984741, 26.4072628021, 87.5898361206, 23.0025939941, 23.8406963348, 21.3999996185, 34.7999992371, 
1488286019, 20.9375000000, 20.8250007629, 20.2999992371, 21.6124992371, 89.9000015259, 97.5500030518, 86.8249969482, 73.2874984741, -0.6000000238, 53.0000000000, 26.6449222565, 86.8741912842, 23.0025939941, 23.9368267059, 21.3999996185, 34.7999992371, 
1488286052, 20.9375000000, 20.8250007629, 20.1499996185, 21.6499996185, 90.5374984741, 98.3000030518, 87.6125030518, 74.0374984741, -0.2800000012, 73.9199981689, 26.8986034393, 86.1188659668, 23.0025939941, 24.0924701691, 21.3999996185, 34.7999992371, 
1488286085, 20.8999996185, 20.7875003815, 20.1875000000, 21.6124992371, 91.2874984741, 99.0124969482, 88.3249969482, 74.7874984741, -0.4000000060, 46.0000000000, 27.1789875031, 85.4245834351, 22.9758911133, 24.1260395050, 21.3999996185, 34.7999992371, 
1488286118, 20.8999996185, 20.7875003815, 20.1499996185, 21.6124992371, 91.8874969482, 99.6500015259, 88.9625015259, 75.5374984741, -0.2000000030, 60.2000007629, 27.4219875336, 84.6097488403, 23.0025939941, 24.2496376038, 21.3999996185, 34.9000015259, 
1488286151, 20.8999996185, 20.7500000000, 20.1499996185, 21.6124992371, 92.5250015259, 100.2500000000, 89.5625000000, 76.0999984741, -0.2800000012, 57.5999984741, 27.7023735046, 83.5965499878, 22.9598693848, 24.3762874603, 21.3999996185, 34.9000015259, 
1488286184, 20.8999996185, 20.7875003815, 20.1499996185, 21.5750007629, 93.0500030518, 100.8125000000, 90.1250000000, 76.7375030518, -0.4799999893, 55.5200004578, 27.9667358398, 82.7176284790, 22.9758911133, 24.4876785278, 21.3999996185, 34.9000015259, 
1488286217, 21.0125007629, 20.7124996185, 20.1124992371, 21.5750007629, 93.5749969482, 101.3375015259, 90.6875000000, 77.3375015259, -0.4000000060, 62.7999992371, 28.2097358704, 81.7120590210, 22.9598693848, 24.5502395630, 21.3999996185, 34.9000015259, 
1488286250, 20.8999996185, 20.9375000000, 20.1124992371, 21.5750007629, 94.0625000000, 101.8249969482, 91.1750030518, 77.8625030518, -0.2800000012, 53.5999984741, 28.4180202484, 80.8926544189, 22.9465179443, 24.7379264832, 21.3999996185, 35.0000000000, 
1488286283, 20.8999996185, 20.7124996185, 20.1124992371, 21.5750007629, 94.5124969482, 102.3125000000, 91.6624984741, 78.3874969482, -0.2000000030, 45.1199989319, 28.5889225006, 80.2044677734, 22.9758911133, 24.7669181824, 21.3999996185, 35.0000000000, 
1488286316, 20.8624992371, 20.7124996185, 20.1499996185, 21.5750007629, 94.8874969482, 102.7624969482, 92.1125030518, 78.9124984741, -0.4799999893, 61.4000015259, 28.8559551239, 79.2843551636, 22.9598693848, 24.8630504608, 21.2999992371, 35.0000000000, 
