datetime, TC_4, TC_3, TC_2, TC_1, TC_8, TC_7, TC_6, TC_5, Fan Current L, Fan Currrent R, T_L, RH_L, T_R, RH_R, T_Out, RH_Out
1490228177, 22.0249996185, 22.0249996185, 21.3500003815, 22.7000007629, 22.1000003815, 21.6499996185, 22.0249996185, 21.8374996185, -0.4000000060, -0.4799999893, 24.5754184723, 52.3338661194, 24.7943840027, 51.5693893433, 24.2000007629, 56.2000007629, 
1490228210, 22.1375007629, 22.1000003815, 21.3125000000, 22.8125000000, 22.2500000000, 21.7625007629, 22.1375007629, 21.9500007629, -0.4000000060, -0.4799999893, 24.6314945221, 50.7957572937, 24.8905162811, 49.5506210327, 24.2000007629, 55.7000007629, 
1490228243, 22.1749992371, 22.1375007629, 21.3500003815, 22.8500003815, 22.3250007629, 21.8374996185, 22.2124996185, 21.9874992371, -0.4000000060, -0.8000000119, 24.6181430817, 48.1284828186, 24.8905162811, 46.8879241943, 24.2999992371, 53.2999992371, 
1490228276, 22.2124996185, 22.1375007629, 21.3875007629, 22.8500003815, 22.3624992371, 21.8374996185, 22.2124996185, 22.0249996185, -0.4000000060, -0.6800000072, 24.6314945221, 46.3920059204, 24.8771648407, 45.2536811829, 24.2999992371, 51.0999984741, 
1490228310, 22.2124996185, 22.1000003815, 21.3875007629, 22.8500003815, 22.3624992371, 21.8750000000, 22.2500000000, 22.0249996185, -0.2800000012, -0.6000000238, 24.6475162506, 45.1285591125, 24.9065380096, 44.1138305664, 24.2999992371, 49.7000007629, 
1490228343, 22.2124996185, 22.1375007629, 21.3875007629, 22.8500003815, 22.3999996185, 21.8750000000, 22.2875003815, 22.0249996185, -0.6000000238, -0.6800000072, 24.7035942078, 44.2328529358, 24.9359111786, 43.1891365051, 24.3999996185, 48.2000007629, 
1490228376, 22.3999996185, 22.1375007629, 21.3875007629, 22.8500003815, 22.3624992371, 21.8750000000, 22.2875003815, 22.0625000000, -0.2800000012, -0.4799999893, 24.7035942078, 43.4546432495, 24.9492645264, 42.4017715454, 24.3999996185, 47.2000007629, 
1490228409, 22.2500000000, 22.1000003815, 21.3875007629, 22.8500003815, 22.4375000000, 21.9125003815, 22.3250007629, 22.0625000000, -0.2800000012, -0.6000000238, 24.7596702576, 42.8046073914, 24.9786376953, 41.8097190857, 24.3999996185, 46.2999992371, 
1490228442, 22.2500000000, 22.1000003815, 21.4249992371, 23.1499996185, 22.3999996185, 21.9125003815, 22.3250007629, 22.1000003815, -0.4000000060, -0.6000000238, 24.7863731384, 42.1774635315, 25.0053405762, 41.1825752258, 24.3999996185, 45.5000000000, 
1490228475, 22.2500000000, 22.1000003815, 21.4249992371, 22.8500003815, 22.4375000000, 21.9500007629, 22.3624992371, 22.1000003815, -0.4000000060, -0.6800000072, 24.7997245789, 41.5091171265, 24.9786376953, 40.5645828247, 24.3999996185, 44.7999992371, 
1490228508, 22.2500000000, 22.0625000000, 21.4249992371, 22.8875007629, 22.4375000000, 21.9500007629, 22.3624992371, 22.1375007629, -0.4000000060, -0.4799999893, 24.7730216980, 41.0238800049, 24.9919891357, 40.1022338867, 24.5000000000, 44.0999984741, 
1490228541, 22.2875003815, 22.1000003815, 21.4624996185, 22.8875007629, 22.4750003815, 21.9500007629, 22.3624992371, 22.1749992371, -0.4799999893, -0.4799999893, 24.7997245789, 40.5325393677, 25.0053405762, 39.6139450073, 24.5000000000, 43.5000000000, 
1490228574, 22.2875003815, 22.1000003815, 21.4624996185, 22.8875007629, 22.4750003815, 21.9874992371, 22.3999996185, 22.1749992371, -0.4799999893, -0.6800000072, 24.8157482147, 40.0518798828, 25.0480651855, 39.1454963684, 24.5000000000, 42.9000015259, 
1490228607, 22.2875003815, 22.1000003815, 21.4624996185, 22.9249992371, 22.5125007629, 21.9874992371, 22.3999996185, 22.1749992371, -0.2800000012, -0.2800000012, 24.8424510956, 39.6902427673, 25.0614166260, 38.7884330750, 24.5000000000, 42.2999992371, 
1490228640, 22.3250007629, 22.1749992371, 21.4624996185, 22.9249992371, 22.5125007629, 21.9874992371, 22.4375000000, 22.2124996185, -0.2800000012, -0.4799999893, 24.8851757050, 39.3423347473, 25.0907917023, 38.4283218384, 24.5000000000, 41.9000015259, 
1490228673, 22.3624992371, 22.1375007629, 21.5000000000, 23.2250003815, 22.5499992371, 21.9874992371, 22.4750003815, 22.2500000000, -0.4000000060, -0.6000000238, 24.8851757050, 39.0234222412, 25.1174945831, 38.1155090332, 24.6000003815, 41.5000000000, 
1490228706, 22.3250007629, 22.1375007629, 21.5000000000, 22.9249992371, 22.5125007629, 22.0249996185, 22.4750003815, 22.2500000000, -0.2800000012, -0.4799999893, 24.8851757050, 38.6434745789, 25.1174945831, 37.8408470154, 24.6000003815, 41.0999984741, 
1490228739, 22.3624992371, 22.1749992371, 21.5000000000, 22.9624996185, 22.5874996185, 22.0249996185, 22.4750003815, 22.2875003815, -0.2800000012, -0.4799999893, 24.9305706024, 38.3825454712, 25.1335163116, 37.5997543335, 24.6000003815, 40.7999992371, 
1490228772, 22.3624992371, 22.1749992371, 21.5000000000, 22.9624996185, 22.5874996185, 22.0249996185, 22.5125007629, 22.2875003815, -0.4000000060, -0.4000000060, 24.9118785858, 38.1246643066, 25.1335163116, 37.3266181946, 24.6000003815, 40.4000015259, 
1490228806, 22.3999996185, 22.1749992371, 21.5750007629, 22.9624996185, 22.5874996185, 22.0625000000, 22.5125007629, 22.2875003815, -0.2800000012, -0.6800000072, 24.9305706024, 37.9156188965, 25.1335163116, 37.0672149658, 24.6000003815, 40.0999984741, 
1490228839, 22.3624992371, 22.1375007629, 21.5375003815, 22.9624996185, 22.6250000000, 22.1000003815, 22.5499992371, 22.3250007629, -0.4799999893, -0.4000000060, 24.9706268311, 37.6531639099, 25.1895942688, 36.8093376160, 24.6000003815, 39.7999992371, 
1490228872, 22.4375000000, 22.1749992371, 21.5375003815, 22.9624996185, 22.5874996185, 22.1000003815, 22.5874996185, 22.3250007629, -0.4799999893, -0.6800000072, 24.9866485596, 37.4059677124, 25.1602191925, 36.5819778442, 24.7000007629, 39.5000000000, 
1490228905, 22.3999996185, 22.2500000000, 21.5750007629, 23.0000000000, 22.6250000000, 22.1000003815, 22.5499992371, 22.3624992371, -0.4000000060, -0.4000000060, 24.9866485596, 37.1633491516, 25.1735706329, 36.3485145569, 24.7000007629, 39.2000007629, 
1490228938, 22.3999996185, 22.1749992371, 21.5750007629, 23.0000000000, 22.6250000000, 22.1000003815, 22.5874996185, 22.3624992371, -0.4000000060, -0.6800000072, 24.9866485596, 36.9024200439, 25.1602191925, 36.0494384766, 24.7000007629, 39.0000000000, 
1490228971, 22.4375000000, 22.1749992371, 21.5750007629, 23.0375003815, 22.6250000000, 22.1375007629, 22.5874996185, 22.3624992371, -0.2800000012, -0.2800000012, 25.0000000000, 36.5941848755, 25.1895942688, 35.7930870056, 24.7000007629, 38.7000007629, 
1490229004, 22.4375000000, 22.1749992371, 21.6124992371, 23.0375003815, 22.6625003815, 22.1375007629, 22.5874996185, 22.3624992371, -0.6800000072, -0.2000000030, 25.0000000000, 36.3607215881, 25.2162971497, 35.5748825073, 24.7000007629, 38.4000015259, 
1490229037, 22.4375000000, 22.1749992371, 21.6124992371, 23.0375003815, 22.6625003815, 22.1375007629, 22.5874996185, 22.3999996185, -0.6000000238, -0.6000000238, 25.0133514404, 36.1242065430, 25.2162971497, 35.3170051575, 24.7000007629, 38.0000000000, 
1490229070, 22.4375000000, 22.1749992371, 21.6124992371, 23.0375003815, 22.7000007629, 22.1375007629, 22.6250000000, 22.3999996185, -0.4000000060, -0.6000000238, 25.0000000000, 35.8083457947, 25.2029457092, 35.0286102295, 24.7000007629, 37.7000007629, 
1490229103, 22.4375000000, 22.2124996185, 21.6124992371, 23.0750007629, 22.6625003815, 22.1375007629, 22.6250000000, 22.4375000000, -0.6000000238, -0.6800000072, 25.0000000000, 35.6145553589, 25.2296485901, 34.8134574890, 24.7000007629, 37.4000015259, 
1490229136, 22.6250000000, 22.2124996185, 21.6124992371, 23.0375003815, 22.6625003815, 22.1375007629, 22.6250000000, 22.4375000000, -0.4000000060, -0.4000000060, 25.0267028809, 37.5616073608, 25.2162971497, 37.6531639099, 24.7999992371, 37.2999992371, 
1490229169, 22.5125007629, 22.3250007629, 21.6499996185, 23.1124992371, 22.7000007629, 22.1749992371, 22.6625003815, 22.4375000000, -0.2800000012, -0.4799999893, 25.0133514404, 41.5625228882, 25.2296485901, 40.4455642700, 24.7999992371, 43.2000007629, 
1490229202, 22.5125007629, 22.2875003815, 21.7250003815, 23.4125003815, 22.7374992371, 22.2124996185, 22.7000007629, 22.4750003815, -0.4000000060, -0.4799999893, 25.0427246094, 39.1378669739, 25.2162971497, 38.0987243652, 24.7999992371, 42.9000015259, 
1490229235, 22.5499992371, 22.2875003815, 21.7625007629, 23.1499996185, 22.7374992371, 22.2500000000, 22.7000007629, 22.4750003815, -0.2800000012, -0.6800000072, 25.0267028809, 37.6913108826, 25.2296485901, 36.8047599792, 24.7999992371, 41.0000000000, 
1490229268, 22.5499992371, 22.2875003815, 21.7250003815, 23.1124992371, 22.7374992371, 22.2124996185, 22.6625003815, 22.4750003815, -0.4799999893, -0.4799999893, 25.0133514404, 36.7864494324, 25.2162971497, 35.8815917969, 24.7999992371, 39.7999992371, 
1490229301, 22.5499992371, 22.2875003815, 21.7250003815, 23.1124992371, 22.7374992371, 22.2124996185, 22.7000007629, 22.5125007629, -0.2800000012, -0.8000000119, 25.0267028809, 36.0128173828, 25.2296485901, 35.2315559387, 24.7999992371, 38.7000007629, 
1490229335, 22.5499992371, 22.2500000000, 21.6875000000, 23.1499996185, 22.7374992371, 22.2124996185, 22.7000007629, 22.4750003815, -0.2000000030, -0.6000000238, 25.0267028809, 35.5733566284, 25.2296485901, 34.7722587585, 24.7999992371, 38.0000000000, 
1490229368, 22.5499992371, 22.2500000000, 21.7250003815, 23.1124992371, 22.7374992371, 22.2124996185, 22.7000007629, 22.5125007629, -0.6000000238, -0.4000000060, 25.0427246094, 35.1491584778, 25.2456703186, 34.3526344299, 24.7999992371, 37.2000007629, 
1490229401, 22.5874996185, 22.2875003815, 21.7250003815, 23.1124992371, 22.7374992371, 22.2124996185, 22.7000007629, 22.4750003815, -0.2800000012, -0.4799999893, 25.0427246094, 34.8744926453, 25.2456703186, 34.0810241699, 24.7999992371, 36.7000007629, 
1490229434, 22.5499992371, 22.2500000000, 21.7250003815, 23.1499996185, 22.7374992371, 22.2124996185, 22.7000007629, 22.4750003815, -0.4000000060, -0.4799999893, 25.0133514404, 34.5708389282, 25.2296485901, 33.8246726990, 24.7999992371, 36.2000007629, 
1490229467, 22.5499992371, 22.2500000000, 21.7625007629, 23.1124992371, 22.7000007629, 22.2124996185, 22.7374992371, 22.4750003815, -0.4799999893, -0.4799999893, 25.0560760498, 34.3526344299, 25.2590217590, 33.5179672241, 24.7999992371, 35.9000015259, 
